50,rhc,0.11944176645311862,Time, 26,sa,0.10479833345466581,Time, 377,ga,0.13167954440805815,Time, 878
100,rhc,0.06465642757750327,Time, 11,sa,0.08015757277841455,Time, 415,ga,0.10934373364162027,Time, 1276
150,rhc,0.04457894718861076,Time, 12,sa,0.06058017268255902,Time, 469,ga,0.07531134372648006,Time, 1836
200,rhc,0.03135992506398641,Time, 16,sa,0.04377314703034676,Time, 562,ga,0.07709704902306844,Time, 2335
250,rhc,0.021332047059907523,Time, 21,sa,0.036240839302875916,Time, 666,ga,0.057252387489784486,Time, 3087
300,rhc,0.01833599477054325,Time, 25,sa,0.030663780459953122,Time, 789,ga,0.049862881039485565,Time, 3850
350,rhc,0.015235708239252861,Time, 30,sa,0.025233199928035386,Time, 887,ga,0.046520901543516915,Time, 4558
400,rhc,0.013229559189718925,Time, 49,sa,0.022855951804293315,Time, 1044,ga,0.044724361854881316,Time, 5328
450,rhc,0.011331405726899545,Time, 39,sa,0.01987672932475678,Time, 1112,ga,0.036414851051065,Time, 6269
500,rhc,0.010214196019712345,Time, 45,sa,0.018475497523384128,Time, 1249,ga,0.03650155659636926,Time, 6878
550,rhc,0.008891929413777333,Time, 50,sa,0.016879122534221358,Time, 1305,ga,0.037075864947026756,Time, 7643
600,rhc,0.007945130328720214,Time, 53,sa,0.014286875932872336,Time, 1321,ga,0.032990658281935724,Time, 8396
650,rhc,0.007165990562720366,Time, 58,sa,0.013188525305859913,Time, 1448,ga,0.028598748550006742,Time, 9333
700,rhc,0.006298588981170235,Time, 66,sa,0.011990729213588772,Time, 1575,ga,0.03135149294167778,Time, 10241
750,rhc,0.005895636715015749,Time, 71,sa,0.011695680240866283,Time, 1651,ga,0.023366528699663124,Time, 11175
800,rhc,0.005370739664889254,Time, 76,sa,0.010188439195785952,Time, 1780,ga,0.025766829764145512,Time, 11964
850,rhc,0.004965562855079437,Time, 81,sa,0.010284528025651671,Time, 1964,ga,0.02322171148849253,Time, 13404
900,rhc,0.0047029896686815445,Time, 90,sa,0.00898123331113448,Time, 2018,ga,0.021374061000483602,Time, 14248
950,rhc,0.004441683179855321,Time, 98,sa,0.008579946806163852,Time, 2167,ga,0.02781611274827277,Time, 14872
50,rhc,0.12852877435944826,Time, 5,sa,0.12087616767296187,Time, 309,ga,0.15390629481403065,Time, 678
100,rhc,0.06208118984419192,Time, 8,sa,0.07246103425994045,Time, 384,ga,0.10627020902247288,Time, 1122
150,rhc,0.04137110382113119,Time, 12,sa,0.04978758614380203,Time, 476,ga,0.08929153491236164,Time, 1700
200,rhc,0.02745117914930116,Time, 18,sa,0.040816373759011045,Time, 565,ga,0.07111993996541496,Time, 2308
250,rhc,0.023010162044805032,Time, 21,sa,0.040172934467164065,Time, 672,ga,0.06603832753989484,Time, 3153
300,rhc,0.018195406123699114,Time, 25,sa,0.0321337018964176,Time, 783,ga,0.04325556805054549,Time, 3990
350,rhc,0.015666553144222495,Time, 30,sa,0.028109691826497158,Time, 903,ga,0.04242739430552612,Time, 4569
400,rhc,0.013317058446922348,Time, 35,sa,0.02390379079729053,Time, 1045,ga,0.04849826921441891,Time, 5319
450,rhc,0.010995703018934431,Time, 43,sa,0.019923822792292538,Time, 1346,ga,0.037319193376609675,Time, 7279
500,rhc,0.009863665544740286,Time, 117,sa,0.01841608717601568,Time, 1830,ga,0.03291343763383269,Time, 8419
550,rhc,0.008592053827215576,Time, 61,sa,0.01578422405800218,Time, 1462,ga,0.03424188937479477,Time, 9422
600,rhc,0.007966740175277973,Time, 153,sa,0.015283107716971289,Time, 2012,ga,0.027026216227376228,Time, 9550
650,rhc,0.007215093400665786,Time, 61,sa,0.013312624346948443,Time, 1514,ga,0.026406416279505452,Time, 9497
700,rhc,0.006494994136594797,Time, 72,sa,0.012843582589194316,Time, 1603,ga,0.029538583788687532,Time, 10723
750,rhc,0.006138716925746823,Time, 72,sa,0.011075006908319043,Time, 1711,ga,0.027921821185603726,Time, 11036
