0.07780693218313867
, 9,0.0731100449900597
, 5516,0.13869763952792205
, 7420.09241519056961674
, 1,0.09214966494643718
, 216,0.15081690938243064
, 7270.11047865864322913
, 1,0.10207788574612674
, 216,0.17873725866428844
, 7350.10901036165273029
, 2,0.10591283069351799
, 316,0.14455236605518904
, 14080.11311927852894353
, 2,0.11487171530878382
, 416,0.1412504985154469
, 16860.11443897970462627
, 2,0.10817846543406276
, 416,0.1758985030321134
, 15030.13640604365364256
, 2,0.12566388869869075
, 516,0.1670773134027203
, 23110.11748687187890015
, 4,0.11450987630159859
, 616,0.16267587642362408
, 21350.11391958625728599
, 3,0.11264459170626505
, 616,0.14940026668968565
, 29930.08378805194051579
, 0,0.07731388192108564
, 116,0.13993187028005807
, 3260.09777683309808406
, 0,0.08811535309101967
, 116,0.14644959314567949
, 6240.10905988392163893
, 1,0.11190147959208398
, 216,0.14481550373588997
, 9650.11474083309462321
, 2,0.10458804344074553
, 316,0.15557052784832912
, 13290.10705287008977374
, 2,0.1133451081035612
, 316,0.16825924731510614
, 15640.13030394930013345
, 2,0.10886529161769565
, 416,0.1541390321543695
, 21260.13274479215914578
, 2,0.11956540538746999
, 516,0.145225552382381
, 24060.11254069935108633
, 2,0.12866985653481228
, 516,0.16089996292830122
, 19930.1331900612170971
, 3,0.12920227382515082
, 716,0.14263676005262707
, 33890.09018033059981072
, 1,0.07505818393784891
, 216,0.14774801911340874
, 4110.10868682990427055
, 1,0.09581883382050246
, 216,0.1368598471450777
, 7410.12776110182469405
, 1,0.12011603148798009
, 216,0.18329728922098257
, 9780.12192712919779011
, 1,0.1229782488388949
, 316,0.1600520577181915
, 12800.1275415525473228
, 2,0.1319123301824601
, 416,0.14301329351018252
, 16880.11223609824682838
, 2,0.10874354524374928
, 416,0.14125776290839853
, 21420.12898114467440464
, 2,0.14557336368909476
, 416,0.16922807746103213
, 22920.11418093023460689
, 3,0.12803903652713094
, 616,0.16226072792433377
, 25730.11538958252964777
, 2,0.12231494220774132
, 516,0.16467578124449278
, 27700.09390551938147138
, 1,0.0764494165842662
, 116,0.1521807519385976
, 3350.10268712022467959
, 2,0.09547502431949027
, 316,0.1492361498219912
, 6920.11359569502616672
, 1,0.09955329689756598
, 216,0.14296066045383032
, 10770.12271543821760146
, 1,0.11562615657670963
, 316,0.15224236134496538
, 14070.11285697567923009
, 2,0.10986747009057164
, 316,0.14684840907842528
, 17770.10941297830566998
, 2,0.10794363746205397
, 416,0.14070233900508383
, 21990.1251624933446404
, 2,0.1087036111089961
, 416,0.14748496811703318
, 24130.1241123408091623
, 3,0.13923165725755104
, 616,0.16048363873460283
, 26710.12079277579913937
, 2,0.12978738054471298
, 516,0.14070715427619787
, 31520.08837783423001223
, 1,0.0622552777763182
, 116,0.1364900866145006
, 3280.10870762625571845
, 1,0.08673087092340494
, 216,0.14815679452554506
, 6440.10510965343339
, 1,0.10054522860789389
, 216,0.1493441583622369
, 9980.11179512394534726
, 2,0.11606561383316005
, 316,0.14692570645371292
, 13970.11051199990830159
, 2,0.1166545431908101
, 316,0.1543694307709415
, 15960.10818274116970572
, 4,0.11637171889328683
, 616,0.14155606037263327
, 20300.12814828301061365
, 4,0.1201727715587747
, 716,0.15336052219174917
, 20340.12412830446472231
, 3,0.12508422223774412
, 616,0.1466913929569854
, 27930.11907319560634178
, 5,0.11590666509817675
, 816,0.13580842039113755
, 3078
