90,rhc,66.0, 35,sa,89.0, 173,ga,80.0, 242
100,rhc,80.0, 39,sa,99.0, 196,ga,86.0, 267
110,rhc,90.0, 41,sa,109.0, 185,ga,99.0, 265
120,rhc,96.0, 45,sa,118.0, 193,ga,107.0, 277
130,rhc,105.0, 51,sa,128.0, 202,ga,114.0, 291
140,rhc,109.0, 61,sa,139.0, 228,ga,122.0, 326
150,rhc,117.0, 62,sa,148.0, 232,ga,123.0, 332
160,rhc,130.0, 62,sa,158.0, 240,ga,135.0, 361
170,rhc,143.0, 72,sa,168.0, 255,ga,137.0, 392
180,rhc,139.0, 80,sa,177.0, 265,ga,148.0, 382
190,rhc,155.0, 75,sa,188.0, 271,ga,156.0, 436
